text,intent,dialect,source
عندي فحص بكرة,reminders,Najdi,synthetic
قولي ذكرني بالسنن,prayer_time,Hijazi,synthetic_aug
"""سلام عليكم، يا صاحب النظرة في الطاقة! حول الربع الخالي لقوة طاقة نظيفة. وازن بين مزارع الشمس وطواحين الهوا ومولدات طاقة الرمل الجديدة. فاوض البدو أصحاب الأراضي والمهندسين المطهر المتطورين. بس انتبه - ترى الهبوب ممكن يحول مزرعة الشمس لفرن مندي ضخم!""",quran,Najdi,saudial
احتاج صلاة الوتر متى,prayer_time,Eastern,synthetic_aug
يا رفيق ممنوع عليّ آكل إيش,diet,Najdi,synthetic_aug
دواء ضد الحموضة,medication,Hijazi,synthetic
يا رفيق ذكرني أتصل بأولادي يا أخوي,reminders,Hijazi,synthetic_aug
ساعدني شعر عربي,conversation,Najdi,synthetic_aug
يا رفيق وين أقرب مستشفى طوارئ الحين,emergency,Hijazi,synthetic_aug
"""حجة الخدام مو ماشية. لازم نرجع نفحص مكان الجريمة.""",islamic_advice,Hijazi,saudial
ممنون,general,Eastern,synthetic
اشرح لي شيء جديد الحين,conversation,Janoubi/Southern,synthetic_aug
ساعدني وش يؤثر على فاعلية الدواء,medication,Najdi,synthetic_aug
ابغى تساعدني قولي قصة,conversation,Najdi,synthetic_aug
ابغى دمي ما يوقف,emergency,Janoubi/Southern,synthetic_aug
الدعاء المستجاب بسرعة,islamic_advice,Hijazi,synthetic_aug
احتاج أقرب عيادة عيون من فضلك,locations,Eastern,synthetic_aug
المستشفى الحكومي وين الحين,locations,Hijazi,synthetic_aug
طعام الكلى,diet,Eastern,synthetic
ابغى الأذان الأول والثاني من فضلك,prayer_time,Najdi,synthetic_aug
يا رفيق عيادة الأسنان أين يا أخوي,locations,Najdi,synthetic_aug
"""نادي لاسلكي، قل لهم إحنا محافظين على الموقع.""",locations,Hijazi,saudial
قولي نبهني قبل الأذان بعشر دقائق,prayer_time,Hijazi,synthetic_aug
"""يلا، يا المزارع التقني! طبق حلول الذكاء الاصطناعي والإنترنت عشان تطور الزراعة في أراضي عسير الصعبة. استخدم الدرونات لمراقبة المحاصيل، وسو أنظمة ري ذكية، واعمل نماذج تتنبأ بإنتاج المحاصيل. اخلط حكمة الزراعة القديمة مع التقنية الحديثة!""",islamic_advice,Southern,saudial
آية عن الصبر,quran,Hijazi,synthetic
ساعدني رفيق شكراً جزيلاً بسرعة,general,Najdi,synthetic_aug
مساء الخير,general,Eastern,synthetic
"""سلام عليكم، يا التقني الأخلاقي! انضم للجنة أخلاقيات الذكاء الاصطناعي في شركة تقنية سعودية كبيرة. قيّم تطبيقات الذكاء الاصطناعي في الصحة والمالية والخدمات الحكومية. تأكد إنها تتوافق مع القيم الإسلامية والعادات السعودية. شكل الإطار الأخلاقي لمستقبل المملكة المعتمد على الذكاء الاصطناعي!""",islamic_advice,Najdi,saudial
ابغى دعاء الاستخارة يا أخوي,islamic_advice,Eastern,synthetic_aug
ابغى ثواب الصلاة بسرعة,islamic_advice,Najdi,synthetic_aug
ابغى تساعدني جار المستشفى كيف أدخل,locations,Eastern,synthetic_aug
"""جدي يقول: 'البوم المضبوط يقدر يواجه أي نوة.' يلا نختار الخشب الزين، ونسوي هيكل البوم، ونخيط الشراع. بكرة بتبحر ببومك على هيرات اللولو!""",reminders,Eastern,saudial
يا رفيق وش يناسب الكبار,diet,Hijazi,synthetic_aug
ممكن هل تحس بالوحدة,conversation,Najdi,synthetic_aug
رفيق دعاء الأكل بسرعة,islamic_advice,Hijazi,synthetic_aug
سبحان الله وبحمده,islamic_advice,Najdi,synthetic
تلاوة هادئة للنوم,quran,Eastern,synthetic
هل الدواء يسبب نعاس,medication,Eastern,synthetic
احتاج أخصائي عظام بسرعة,locations,Eastern,synthetic_aug
ابغى تساعدني أوميغا 3 مع الأكل,medication,Najdi,synthetic_aug
احتاج مناسبة قريبة,reminders,Eastern,synthetic_aug
عندي فحص بكرة بسرعة,reminders,Eastern,synthetic_aug
هلا يا أخوي,general,Najdi,synthetic_aug
قولي شيء يضحكني,conversation,Najdi,synthetic
المنبه ما صحاني,reminders,Hijazi,synthetic
ابغى تساعدني ذكرني كل يوم الساعة ٨ يا أخوي,reminders,Najdi,synthetic_aug
كل جسمي يرتجف,emergency,Najdi,synthetic
رفيق عندي فحص بكرة الحين,reminders,Najdi,synthetic_aug
احتاج السعودية قديماً وحديثاً من فضلك,conversation,Najdi,synthetic_aug
الصدقة تدفع البلاء,islamic_advice,Hijazi,synthetic
